Itearations;Unique samples;Sample length;Map size;MSE
10;5;1;2;0.021084265
10;5;1;4;7.05E-04
10;5;1;6;8.35E-05
10;5;1;8;4.33E-05
10;5;1;10;2.81E-04
10;5;1;12;5.82E-04
10;5;1;14;1.13E-07
10;5;1;16;0
10;5;1;18;0
10;5;1;20;6.75E-10
10;5;2;2;0.066468963
10;5;2;4;0.003001617
10;5;2;6;0.002159271
10;5;2;8;0.001139846
10;5;2;10;0.007735258
10;5;2;12;0
10;5;2;14;0
10;5;2;16;0.003399298
10;5;2;18;0
10;5;2;20;0.001706738
10;5;3;2;0.083493348
10;5;3;4;0.014876388
10;5;3;6;0.003012798
10;5;3;8;5.49E-04
10;5;3;10;0.003711762
10;5;3;12;0.002988817
10;5;3;14;0.002154855
10;5;3;16;1.92E-04
10;5;3;18;0.003245402
10;5;3;20;0.004437215
10;5;4;2;0.152627688
10;5;4;4;0.026826598
10;5;4;6;0.020398305
10;5;4;8;0.006931129
10;5;4;10;0.002374566
10;5;4;12;0
10;5;4;14;0.001583891
10;5;4;16;0
10;5;4;18;1.53E-05
10;5;4;20;1.63E-06
10;5;5;2;0.236423388
10;5;5;4;0.077461464
10;5;5;6;0.01652983
10;5;5;8;3.73E-05
10;5;5;10;0.011970947
10;5;5;12;3.39E-04
10;5;5;14;1.26E-06
10;5;5;16;0.002104367
10;5;5;18;6.32E-06
10;5;5;20;0.003201589
10;5;6;2;0.290840991
10;5;6;4;0.059269583
10;5;6;6;0.031573624
10;5;6;8;0.013828697
10;5;6;10;0.022173849
10;5;6;12;0
10;5;6;14;0
10;5;6;16;0
10;5;6;18;2.47E-05
10;5;6;20;0
10;5;7;2;0.276658867
10;5;7;4;0.044442937
10;5;7;6;0.040221771
10;5;7;8;0.005460699
10;5;7;10;0.016955355
10;5;7;12;0.026911986
10;5;7;14;0
10;5;7;16;0
10;5;7;18;1.94E-06
10;5;7;20;0
10;5;8;2;0.198921035
10;5;8;4;0.074291839
10;5;8;6;0.052938127
10;5;8;8;3.03E-05
10;5;8;10;0.071609892
10;5;8;12;0.023978011
10;5;8;14;1.19E-06
10;5;8;16;1.47E-06
10;5;8;18;0.00245538
10;5;8;20;5.38E-06
10;5;9;2;0.340418131
10;5;9;4;0.065794719
10;5;9;6;0.043169459
10;5;9;8;0.024394816
10;5;9;10;0.020616277
10;5;9;12;1.88E-04
10;5;9;14;0.012438794
10;5;9;16;0
10;5;9;18;0
10;5;9;20;0
10;5;10;2;0.471840197
10;5;10;4;0.122000513
10;5;10;6;0.032463786
10;5;10;8;0.07582364
10;5;10;10;0.042725049
10;5;10;12;0.010492815
10;5;10;14;0
10;5;10;16;0
10;5;10;18;1.00E-04
10;5;10;20;0
10;10;1;2;0.07311569
10;10;1;4;0.00569474
10;10;1;6;0.007813094
10;10;1;8;0.003020334
10;10;1;10;0.00209813
10;10;1;12;0.001841518
10;10;1;14;0.008990771
10;10;1;16;0.005523593
10;10;1;18;0.001804573
10;10;1;20;5.63E-04
10;10;2;2;0.078677015
10;10;2;4;0.031225974
10;10;2;6;0.022485893
10;10;2;8;0.02002631
10;10;2;10;0.014282609
10;10;2;12;0.014087723
10;10;2;14;0.013530944
10;10;2;16;0.006299728
10;10;2;18;0.009893007
10;10;2;20;0.006269172
10;10;3;2;0.152554402
10;10;3;4;0.084083347
10;10;3;6;0.067361905
10;10;3;8;0.03780389
10;10;3;10;0.051058607
10;10;3;12;0.042005845
10;10;3;14;0.035929263
10;10;3;16;0.033530068
10;10;3;18;0.027251073
10;10;3;20;0.027644166
10;10;4;2;0.223893646
10;10;4;4;0.117066177
10;10;4;6;0.067725353
10;10;4;8;0.080901153
10;10;4;10;0.079084245
10;10;4;12;0.069466146
10;10;4;14;0.06174383
10;10;4;16;0.048066348
10;10;4;18;0.078238866
10;10;4;20;0.064305674
10;10;5;2;0.314056458
10;10;5;4;0.18742244
10;10;5;6;0.138226642
10;10;5;8;0.097130223
10;10;5;10;0.133095626
10;10;5;12;0.088778703
10;10;5;14;0.058115881
10;10;5;16;0.091843349
10;10;5;18;0.092744674
10;10;5;20;0.072119723
10;10;6;2;0.360762481
10;10;6;4;0.268030319
10;10;6;6;0.140743773
10;10;6;8;0.163914353
10;10;6;10;0.123148516
10;10;6;12;0.16357661
10;10;6;14;0.137979499
10;10;6;16;0.16237075
10;10;6;18;0.099511461
10;10;6;20;0.100318891
10;10;7;2;0.47533202
10;10;7;4;0.266850343
10;10;7;6;0.262614156
10;10;7;8;0.162130736
10;10;7;10;0.218584266
10;10;7;12;0.189232478
10;10;7;14;0.126486708
10;10;7;16;0.148524773
10;10;7;18;0.182812881
10;10;7;20;0.130546285
10;10;8;2;0.548087665
10;10;8;4;0.292055952
10;10;8;6;0.272414248
10;10;8;8;0.224291303
10;10;8;10;0.254008089
10;10;8;12;0.252219637
10;10;8;14;0.21380125
10;10;8;16;0.154949652
10;10;8;18;0.159155569
10;10;8;20;0.176203838
10;10;9;2;0.593493078
10;10;9;4;0.384507295
10;10;9;6;0.360796468
10;10;9;8;0.28739671
10;10;9;10;0.290240946
10;10;9;12;0.232574083
10;10;9;14;0.315590163
10;10;9;16;0.188983746
10;10;9;18;0.256131155
10;10;9;20;0.242749005
10;10;10;2;0.738424898
10;10;10;4;0.363072981
10;10;10;6;0.381784484
10;10;10;8;0.270522854
10;10;10;10;0.340475151
10;10;10;12;0.265603146
10;10;10;14;0.255303595
10;10;10;16;0.23499274
10;10;10;18;0.285197205
10;10;10;20;0.272447594
10;15;1;2;0.026025349
10;15;1;4;0.002081699
10;15;1;6;0.001990177
10;15;1;8;0.001768861
10;15;1;10;0.001071395
10;15;1;12;0.001125886
10;15;1;14;0.001468148
10;15;1;16;0.002280725
10;15;1;18;0.001560207
10;15;1;20;0.003964673
10;15;2;2;0.077736154
10;15;2;4;0.039461605
10;15;2;6;0.028806069
10;15;2;8;0.020546853
10;15;2;10;0.033153261
10;15;2;12;0.024790143
10;15;2;14;0.014480264
10;15;2;16;0.015137212
10;15;2;18;0.02334766
10;15;2;20;0.015616075
10;15;3;2;0.132423953
10;15;3;4;0.086103013
10;15;3;6;0.122089173
10;15;3;8;0.056196001
10;15;3;10;0.068718878
10;15;3;12;0.056884454
10;15;3;14;0.05648876
10;15;3;16;0.042995879
10;15;3;18;0.046907173
10;15;3;20;0.043087238
10;15;4;2;0.236090291
10;15;4;4;0.164421724
10;15;4;6;0.15020725
10;15;4;8;0.109110308
10;15;4;10;0.112273434
10;15;4;12;0.094205841
10;15;4;14;0.105631052
10;15;4;16;0.09278954
10;15;4;18;0.113123387
10;15;4;20;0.073375649
10;15;5;2;0.345469141
10;15;5;4;0.212597439
10;15;5;6;0.191783995
10;15;5;8;0.152420683
10;15;5;10;0.144127326
10;15;5;12;0.199294969
10;15;5;14;0.153974836
10;15;5;16;0.156273001
10;15;5;18;0.162839249
10;15;5;20;0.130088444
10;15;6;2;0.506549387
10;15;6;4;0.328633438
10;15;6;6;0.297308646
10;15;6;8;0.246325959
10;15;6;10;0.20814537
10;15;6;12;0.251133251
10;15;6;14;0.212338504
10;15;6;16;0.204547163
10;15;6;18;0.216869985
10;15;6;20;0.18886764
10;15;7;2;0.509372204
10;15;7;4;0.364569167
10;15;7;6;0.304197352
10;15;7;8;0.291694437
10;15;7;10;0.297784844
10;15;7;12;0.255736285
10;15;7;14;0.287527147
10;15;7;16;0.257705459
10;15;7;18;0.269029454
10;15;7;20;0.225725546
10;15;8;2;0.589991805
10;15;8;4;0.457308904
10;15;8;6;0.419054883
10;15;8;8;0.372525648
10;15;8;10;0.373311465
10;15;8;12;0.337503072
10;15;8;14;0.331210287
10;15;8;16;0.355683327
10;15;8;18;0.363555635
10;15;8;20;0.34359325
10;15;9;2;0.784838541
10;15;9;4;0.529976306
10;15;9;6;0.446767441
10;15;9;8;0.442508647
10;15;9;10;0.437943542
10;15;9;12;0.426483934
10;15;9;14;0.428837256
10;15;9;16;0.384951161
10;15;9;18;0.442370665
10;15;9;20;0.350203534
10;15;10;2;0.835362051
10;15;10;4;0.561675871
10;15;10;6;0.519353434
10;15;10;8;0.450141502
10;15;10;10;0.517492145
10;15;10;12;0.451358891
10;15;10;14;0.497236336
10;15;10;16;0.396598616
10;15;10;18;0.431677402
10;15;10;20;0.384463401
10;20;1;2;0.039669324
10;20;1;4;0.005429993
10;20;1;6;0.002340941
10;20;1;8;0.006913193
10;20;1;10;0.002496167
10;20;1;12;0.00261062
10;20;1;14;0.001663714
10;20;1;16;0.002531475
10;20;1;18;0.002001259
10;20;1;20;0.001074613
10;20;2;2;0.071816957
10;20;2;4;0.03166215
10;20;2;6;0.037013542
10;20;2;8;0.029158834
10;20;2;10;0.023308134
10;20;2;12;0.034817887
10;20;2;14;0.029880356
10;20;2;16;0.020260847
10;20;2;18;0.021270734
10;20;2;20;0.024495231
10;20;3;2;0.159672955
10;20;3;4;0.112528292
10;20;3;6;0.080642656
10;20;3;8;0.089355767
10;20;3;10;0.124689215
10;20;3;12;0.104506894
10;20;3;14;0.075171884
10;20;3;16;0.073106617
10;20;3;18;0.059299193
10;20;3;20;0.052050426
10;20;4;2;0.328899043
10;20;4;4;0.185860202
10;20;4;6;0.164402044
10;20;4;8;0.111592834
10;20;4;10;0.135573863
10;20;4;12;0.140011419
10;20;4;14;0.119310435
10;20;4;16;0.114329198
10;20;4;18;0.12361526
10;20;4;20;0.105249714
10;20;5;2;0.39691432
10;20;5;4;0.246851818
10;20;5;6;0.200019651
10;20;5;8;0.203437492
10;20;5;10;0.203370793
10;20;5;12;0.183943806
10;20;5;14;0.173855284
10;20;5;16;0.157351371
10;20;5;18;0.173717192
10;20;5;20;0.177385648
10;20;6;2;0.617248253
10;20;6;4;0.360136228
10;20;6;6;0.316723262
10;20;6;8;0.247916048
10;20;6;10;0.277029403
10;20;6;12;0.254242534
10;20;6;14;0.276738467
10;20;6;16;0.258152794
10;20;6;18;0.264019043
10;20;6;20;0.236630001
10;20;7;2;0.529588452
10;20;7;4;0.424668235
10;20;7;6;0.424875011
10;20;7;8;0.362814327
10;20;7;10;0.381480159
10;20;7;12;0.380744432
10;20;7;14;0.338989374
10;20;7;16;0.328457201
10;20;7;18;0.307298007
10;20;7;20;0.327460094
10;20;8;2;0.681213002
10;20;8;4;0.530273193
10;20;8;6;0.395017716
10;20;8;8;0.399103434
10;20;8;10;0.420095223
10;20;8;12;0.406613142
10;20;8;14;0.386627292
10;20;8;16;0.349616049
10;20;8;18;0.417846121
10;20;8;20;0.3619037
10;20;9;2;0.738091167
10;20;9;4;0.596309611
10;20;9;6;0.523014017
10;20;9;8;0.507520146
10;20;9;10;0.544431119
10;20;9;12;0.50921015
10;20;9;14;0.4922002
10;20;9;16;0.398590286
10;20;9;18;0.469700127
10;20;9;20;0.431185503
10;20;10;2;0.781306041
10;20;10;4;0.682613272
10;20;10;6;0.640270649
10;20;10;8;0.624050545
10;20;10;10;0.53243486
10;20;10;12;0.529502391
10;20;10;14;0.522851252
10;20;10;16;0.592168352
10;20;10;18;0.522335097
10;20;10;20;0.503510402
10;25;1;2;0.033183932
10;25;1;4;0.010043067
10;25;1;6;0.003700771
10;25;1;8;0.002134099
10;25;1;10;0.006526288
10;25;1;12;0.006406533
10;25;1;14;9.53E-04
10;25;1;16;0.001707427
10;25;1;18;0.006920915
10;25;1;20;0.01289053
10;25;2;2;0.120858002
10;25;2;4;0.045594114
10;25;2;6;0.036944037
10;25;2;8;0.033985145
10;25;2;10;0.047652722
10;25;2;12;0.025764016
10;25;2;14;0.034207894
10;25;2;16;0.024030366
10;25;2;18;0.024060358
10;25;2;20;0.023149207
10;25;3;2;0.167167432
10;25;3;4;0.131296002
10;25;3;6;0.103945928
10;25;3;8;0.083487767
10;25;3;10;0.073253088
10;25;3;12;0.067572007
10;25;3;14;0.07342303
10;25;3;16;0.074089388
10;25;3;18;0.063910873
10;25;3;20;0.072521925
10;25;4;2;0.278975207
10;25;4;4;0.187433407
10;25;4;6;0.172240141
10;25;4;8;0.147357736
10;25;4;10;0.17686277
10;25;4;12;0.141697863
10;25;4;14;0.12791537
10;25;4;16;0.160536583
10;25;4;18;0.123924283
10;25;4;20;0.115065487
10;25;5;2;0.413729377
10;25;5;4;0.280184654
10;25;5;6;0.253721086
10;25;5;8;0.236133019
10;25;5;10;0.232709014
10;25;5;12;0.214611377
10;25;5;14;0.198340244
10;25;5;16;0.18520114
10;25;5;18;0.198930521
10;25;5;20;0.181995475
10;25;6;2;0.514016078
10;25;6;4;0.404786337
10;25;6;6;0.326511809
10;25;6;8;0.329060187
10;25;6;10;0.265590769
10;25;6;12;0.292799123
10;25;6;14;0.258315144
10;25;6;16;0.247229073
10;25;6;18;0.257675933
10;25;6;20;0.273574472
10;25;7;2;0.57685026
10;25;7;4;0.475689343
10;25;7;6;0.43453556
10;25;7;8;0.40909878
10;25;7;10;0.368498523
10;25;7;12;0.356202159
10;25;7;14;0.400238615
10;25;7;16;0.360885577
10;25;7;18;0.428961598
10;25;7;20;0.321595173
10;25;8;2;0.657780576
10;25;8;4;0.498392902
10;25;8;6;0.522874746
10;25;8;8;0.435510295
10;25;8;10;0.472263247
10;25;8;12;0.478233538
10;25;8;14;0.419735146
10;25;8;16;0.427455985
10;25;8;18;0.385238523
10;25;8;20;0.41381587
10;25;9;2;0.803500537
10;25;9;4;0.660889873
10;25;9;6;0.599830999
10;25;9;8;0.519144012
10;25;9;10;0.507628942
10;25;9;12;0.553526807
10;25;9;14;0.459739325
10;25;9;16;0.544146631
10;25;9;18;0.471418833
10;25;9;20;0.472626429
10;25;10;2;0.91499486
10;25;10;4;0.666433598
10;25;10;6;0.634801444
10;25;10;8;0.61022947
10;25;10;10;0.537867194
10;25;10;12;0.622147356
10;25;10;14;0.550760412
10;25;10;16;0.642330956
10;25;10;18;0.588741827
10;25;10;20;0.601236945
10;30;1;2;0.050148436
10;30;1;4;0.005735463
10;30;1;6;0.00552707
10;30;1;8;0.001990208
10;30;1;10;0.001611747
10;30;1;12;6.41E-04
10;30;1;14;0.008121331
10;30;1;16;0.003606668
10;30;1;18;0.003517839
10;30;1;20;0.003484512
10;30;2;2;0.13398778
10;30;2;4;0.05751393
10;30;2;6;0.042285763
10;30;2;8;0.037026991
10;30;2;10;0.029803132
10;30;2;12;0.032555823
10;30;2;14;0.029381737
10;30;2;16;0.03253164
10;30;2;18;0.027230238
10;30;2;20;0.019175002
10;30;3;2;0.202675192
10;30;3;4;0.127846088
10;30;3;6;0.119266658
10;30;3;8;0.110116397
10;30;3;10;0.094249306
10;30;3;12;0.087762095
10;30;3;14;0.090365492
10;30;3;16;0.088064104
10;30;3;18;0.072975085
10;30;3;20;0.07545909
10;30;4;2;0.279333573
10;30;4;4;0.199291284
10;30;4;6;0.184678107
10;30;4;8;0.179334033
10;30;4;10;0.173435306
10;30;4;12;0.176182371
10;30;4;14;0.105632075
10;30;4;16;0.132124122
10;30;4;18;0.152262796
10;30;4;20;0.152442266
10;30;5;2;0.406537393
10;30;5;4;0.289929225
10;30;5;6;0.239301105
10;30;5;8;0.252547114
10;30;5;10;0.287631346
10;30;5;12;0.247746985
10;30;5;14;0.223082044
10;30;5;16;0.194227236
10;30;5;18;0.21420027
10;30;5;20;0.213432967
10;30;6;2;0.503704933
10;30;6;4;0.365671862
10;30;6;6;0.309043427
10;30;6;8;0.321097708
10;30;6;10;0.354353778
10;30;6;12;0.285694917
10;30;6;14;0.291950646
10;30;6;16;0.2878504
10;30;6;18;0.265615599
10;30;6;20;0.30283832
10;30;7;2;0.594659255
10;30;7;4;0.465670328
10;30;7;6;0.430513588
10;30;7;8;0.386731591
10;30;7;10;0.401341785
10;30;7;12;0.393746815
10;30;7;14;0.388883838
10;30;7;16;0.353139062
10;30;7;18;0.394635536
10;30;7;20;0.356272587
10;30;8;2;0.667296596
10;30;8;4;0.489133918
10;30;8;6;0.513798622
10;30;8;8;0.522572251
10;30;8;10;0.458670337
10;30;8;12;0.520780911
10;30;8;14;0.414615328
10;30;8;16;0.424497073
